"replicate","prior","correlation","mse","centers"
"2","proportions",-0.3,0.989445647051578,"4"
"2","proportions",-0.2,1.06829408305538,"4"
"2","proportions",-0.1,1.12668076158346,"4"
"2","proportions",0,1.1560620651367,"4"
"2","proportions",0.1,1.13071498761262,"4"
"2","proportions",0.2,1.05758317436496,"4"
"2","proportions",0.3,0.998360463317131,"4"
"2","proportions",0.4,0.930571997375405,"4"
"2","proportions",0.5,0.841940119657638,"4"
"2","proportions",0.6,0.731667609165113,"4"
"2","proportions",0.7,0.606252747126475,"4"
"2","proportions",0.8,0.450174427301038,"4"
"2","proportions",0.9,0.28953826678223,"4"
"2","proportions",1,0.121696052749302,"4"
"2","proportions",-1,0.0820040075664964,"5"
"2","proportions",-0.9,0.256539112961074,"5"
"2","proportions",-0.8,0.425934986331196,"5"
"2","proportions",-0.7,0.578952244831034,"5"
"2","proportions",-0.6,0.712614569275959,"5"
"2","proportions",-0.5,0.816537613032794,"5"
"2","proportions",-0.4,0.904016348920382,"5"
"2","proportions",-0.3,0.968660297830096,"5"
"2","proportions",-0.2,0.998293888557486,"5"
"2","proportions",-0.1,0.996746223280562,"5"
"2","proportions",0,0.994278661312511,"5"
"2","proportions",0.1,0.99800453242957,"5"
"2","proportions",0.2,1.0196490217683,"5"
"2","proportions",0.3,0.989606588000732,"5"
"2","proportions",0.4,0.915392168763555,"5"
"2","proportions",0.5,0.828480850578926,"5"
"2","proportions",0.6,0.7202003704599,"5"
"2","proportions",0.7,0.581225974902614,"5"
"2","proportions",0.8,0.4293905795161,"5"
"2","proportions",0.9,0.261271793317471,"5"
"2","proportions",1,0.0827709658115254,"5"
"3","equal",-1,1.00877647719212,"1"
"3","equal",-0.9,1.0138149234535,"1"
"3","equal",-0.8,1.01597865008872,"1"
"3","equal",-0.7,1.01761385371753,"1"
"3","equal",-0.6,1.01894986874136,"1"
"3","equal",-0.5,1.02007611566256,"1"
"3","equal",-0.4,1.02103803582651,"1"
"3","equal",-0.3,1.0218617553312,"1"
"3","equal",-0.2,1.0225631223375,"1"
"3","equal",-0.1,1.02315167987934,"1"
"3","equal",0,1.02363257045528,"1"
"3","equal",0.1,1.02400742140999,"1"
"3","equal",0.2,1.0242746053988,"1"
"3","equal",0.3,1.02442897992314,"1"
"3","equal",0.4,1.0244610019491,"1"
"3","equal",0.5,1.0243548233158,"1"
"3","equal",0.6,1.02408431792524,"1"
"3","equal",0.7,1.02360404443206,"1"
"3","equal",0.8,1.0228245823339,"1"
"3","equal",0.9,1.02151659722932,"1"
